Race,Working Hours,Education,Marital Status,Occupation,Industry,IsBusinessOwner,livesInCity,Medical Condition,Age,Job Begin Year,Sex
1,40,41,1,4220,7860,1,2,4,67,2014,1
1,37,41,1,5700,7860,1,2,0,66,2004,2
1,40,39,4,9000,7790,1,2,0,44,2012,1
1,40,39,4,2015,9470,1,2,0,41,2006,1
1,5,36,6,4220,7860,1,2,0,16,2012,1
1,20,37,6,4050,8680,1,2,0,17,2014,2
1,42,42,1,220,770,1,1,30,44,2013,1
1,40,39,1,5700,6990,1,1,0,47,1990,2
1,38,40,1,4720,8590,1,2,0,72,2007,2
1,15,43,1,5120,170,2,2,0,73,1998,2
1,40,39,1,7750,770,1,0,0,56,2010,1
1,12,37,6,4600,8470,1,0,0,20,2014,2
1,5,40,1,4950,5690,2,1,18,30,2013,2
1,40,39,1,7340,6180,1,1,0,35,2005,1
1,40,43,1,2840,3190,1,2,0,61,2005,1
1,40,41,1,3645,8070,1,2,0,60,1991,2
1,25,44,6,4850,4590,1,2,0,68,2013,2
1,40,43,1,4810,6990,2,1,0,61,1980,1
1,40,44,1,3230,7860,1,1,0,62,1985,2
1,40,39,1,8220,3580,1,1,0,58,2013,1
1,40,41,1,5400,7970,1,1,0,59,2014,2
1,6,40,1,430,7070,1,1,0,79,2013,2
1,15,39,1,4920,7070,2,1,0,78,2013,1
1,20,35,6,8740,7470,1,1,0,26,2009,1
2,40,44,1,5810,8370,1,1,0,37,2013,2
2,60,43,1,50,8370,1,1,0,39,2013,1
1,16,39,1,9640,7580,1,1,0,39,1996,1
1,40,43,1,2330,7860,1,1,0,39,2010,2
1,40,39,1,5700,9160,1,1,0,59,2012,2
1,45,44,1,430,6690,1,1,0,49,2000,1
1,50,44,1,2310,7860,1,1,0,48,2008,2
1,30,43,1,2630,7370,2,1,0,45,1996,2
1,50,43,1,4840,7390,2,1,0,48,2007,1
1,1,34,6,5860,7390,1,1,0,15,2012,1
1,1,34,6,5860,7390,1,1,0,15,2012,2
2,20,44,3,2040,9160,1,1,0,74,2006,1
1,25,43,1,2340,7890,2,1,0,63,1980,2
1,55,43,1,350,8190,1,1,0,65,2000,1
1,69,43,1,205,180,2,1,0,63,1986,2
1,69,35,1,205,180,1,1,0,59,1984,1
1,40,42,6,6050,180,1,1,0,27,2000,1
1,40,39,1,2540,7860,1,1,0,46,2013,2
1,40,43,1,2910,7490,2,1,0,50,1983,1
1,40,44,3,430,9090,2,1,0,57,2011,2
1,38,44,1,430,9480,1,1,0,51,2007,1
1,38,42,1,5400,9480,1,1,0,49,2006,2
1,40,39,1,1050,7380,1,1,0,46,2012,1
1,30,39,1,520,7390,1,1,3,46,2014,2
1,15,43,1,5310,7880,2,0,0,40,1994,2
1,45,40,1,2910,1680,1,0,0,41,2013,1
1,35,42,6,7560,490,1,1,0,23,2013,1
1,40,42,4,5700,9090,1,2,0,65,1996,2
1,30,40,6,5160,7680,1,1,0,27,2013,2
1,30,39,1,5420,8590,1,1,0,57,2012,2
1,45,44,1,350,9160,1,1,0,60,2007,1
1,40,39,1,430,8080,1,1,0,59,2003,2
1,2,46,1,2200,7860,2,0,0,71,2007,1
1,40,44,1,2040,9160,1,0,0,52,2007,2
1,40,43,1,5620,4970,1,1,0,61,2002,1
1,37,41,1,5120,4690,1,1,30,61,2004,2
1,40,39,1,3400,7860,1,0,0,49,1996,2
1,5,39,1,3540,9480,1,0,0,52,1994,1
1,36,36,1,7855,1070,1,2,0,29,2014,2
1,16,39,1,9640,7580,1,2,0,42,2014,1
1,38,39,1,8800,1180,1,0,0,61,2003,2
1,40,39,6,5610,5380,1,0,0,36,2013,1
1,48,39,6,9640,7580,1,0,0,32,2014,1
1,40,41,1,1060,490,1,1,0,53,2014,1
1,42,43,1,4700,5170,1,1,0,51,2014,2
1,40,41,6,4700,5380,1,1,0,22,2014,2
1,10,40,6,4250,7770,2,1,0,24,2004,1
1,40,41,1,5700,7270,1,1,0,63,2011,2
1,40,41,1,3255,8090,1,1,0,57,2008,1
1,40,42,6,310,8680,1,1,0,26,2010,1
1,55,41,4,20,4090,1,1,0,63,2000,1
1,45,39,1,4600,8470,2,2,0,51,1994,2
1,16,39,1,5530,680,1,2,0,51,2014,1
1,40,43,1,565,9570,1,1,0,65,1995,1
1,40,42,6,1540,7290,1,1,0,33,2013,1
1,40,43,1,7430,8790,1,1,0,54,2013,1
1,40,44,1,3255,6990,1,1,0,51,2001,2
1,8,36,6,4760,5275,1,1,0,18,2014,1
1,40,39,1,1050,1170,1,0,0,62,2001,2
1,40,39,2,7200,4670,1,0,0,22,2012,1
4,40,41,1,100,7290,1,1,0,48,2003,2
1,45,39,1,7210,4560,1,1,0,50,2006,1
4,40,38,6,5620,4560,1,1,0,18,2014,1
1,40,39,6,8600,570,1,1,0,54,2003,1
2,59,43,4,4760,4670,1,1,0,26,2013,2
1,30,41,4,6260,770,2,1,0,74,1998,1
1,40,42,6,1050,9370,1,1,0,54,2006,1
1,24,39,6,4110,8680,1,1,0,36,2010,2
1,45,43,6,1520,490,1,1,0,24,2013,1
4,69,43,4,4000,8680,2,1,0,52,2013,1
1,33,35,1,7200,8770,2,1,0,37,2009,1
3,40,43,1,1460,6070,1,1,0,47,2011,1
2,40,39,6,5240,7680,1,1,0,27,2012,1
1,40,40,6,7200,8770,1,1,0,44,2007,1
1,40,41,6,7140,6290,1,1,0,61,1988,1
1,50,43,1,6220,770,2,1,0,64,1997,1
1,40,42,1,5340,6880,1,1,0,27,2010,2
