,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
1068,49-3021,automotive body and related repairers,detailed,"144,320",1.4,21.94,"45,630",0.6,12.24,15.64,20.18,26.89,33.98,"25,470","32,530","41,970","55,930","70,670",,
1069,49-3022,automotive glass installers and repairers,detailed,"20,190",7.1,17.23,"35,830",1.3,11.08,13.28,16.43,20.51,24.37,"23,040","27,620","34,170","42,660","50,690",,
1070,49-3023,automotive service technicians and mechanics,detailed,"639,700",0.7,20.51,"42,660",0.3,10.87,14.12,19.02,25.77,31.46,"22,610","29,370","39,550","53,590","65,430",,
1071,49-3030,bus and truck mechanics and diesel engine specialists,broad,"260,380",1.1,23.08,"48,000",0.3,14.61,17.74,22.29,27.94,33.59,"30,400","36,900","46,360","58,110","69,870",,
1073,49-3040,heavy vehicle and mobile equipment service technicians and mechanics,broad,"190,100",1.1,24.42,"50,800",0.4,15.12,18.58,23.77,29.39,35.68,"31,450","38,650","49,440","61,140","74,200",,
1074,49-3041,farm equipment mechanics and service technicians,detailed,"34,410",2.2,19.65,"40,880",0.6,12.52,15.35,18.91,23.63,28.53,"26,040","31,920","39,340","49,160","59,350",,
1075,49-3042,"mobile heavy equipment mechanics, except engines",detailed,"131,590",1.3,25.18,"52,370",0.4,15.99,19.64,24.45,29.72,36.23,"33,260","40,850","50,860","61,810","75,360",,
1076,49-3043,rail car repairers,detailed,"24,090",3.9,27.11,"56,380",1.9,15.88,20.93,27.62,33.34,37.53,"33,030","43,530","57,460","69,340","78,070",,
1077,49-3050,small engine mechanics,broad,"68,300",1.8,18.36,"38,190",0.5,10.97,13.62,17.3,22.31,27.91,"22,810","28,330","35,990","46,400","58,050",,
1078,49-3051,motorboat mechanics and service technicians,detailed,"21,160",3.7,19.88,"41,350",1.1,11.47,14.73,18.73,24.37,29.78,"23,860","30,650","38,960","50,680","61,940",,
1079,49-3052,motorcycle mechanics,detailed,"15,850",4.1,18.4,"38,270",1,11.12,13.67,17.15,22.25,28.01,"23,140","28,430","35,680","46,280","58,270",,
1080,49-3053,outdoor power equipment and other small engine mechanics,detailed,"31,300",2.7,17.32,"36,020",0.7,10.64,13.08,16.53,20.67,25.31,"22,130","27,210","34,370","43,000","52,640",,
1081,49-3090,"miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",broad,"142,190",1.9,14.28,"29,700",0.6,9.51,10.95,13.31,16.69,20.77,"19,780","22,780","27,690","34,700","43,200",,
1082,49-3091,bicycle repairers,detailed,"12,720",6.6,14.12,"29,370",1.6,9.64,11.19,13.65,16.62,19.14,"20,050","23,280","28,390","34,580","39,810",,
1083,49-3092,recreational vehicle service technicians,detailed,"14,780",4.6,18.83,"39,160",1,11.88,14.61,17.89,22.76,27.94,"24,720","30,390","37,200","47,340","58,100",,
1084,49-3093,tire repairers and changers,detailed,"114,690",2.1,13.71,"28,510",0.7,9.4,10.73,12.84,15.72,19.1,"19,560","22,330","26,710","32,690","39,730",,
1085,49-9000,"other installation, maintenance, and repair occupations",minor,"2,877,650",0.3,21.82,"45,390",0.2,11.79,15.24,20.2,27.27,34.78,"24,520","31,690","42,010","56,730","72,330",,
1086,49-9010,control and valve installers and repairers,broad,"68,700",2.5,25.34,"52,710",0.9,14.09,17.64,23.57,31.65,40.08,"29,310","36,700","49,020","65,830","83,370",,
1087,49-9011,mechanical door repairers,detailed,"21,010",5.7,19.93,"41,460",1,12.82,15.57,19,23.53,28.64,"26,660","32,380","39,510","48,940","59,570",,
1088,49-9012,"control and valve installers and repairers, except mechanical door",detailed,"47,700",2.6,27.72,"57,660",0.9,15.29,19.54,26.85,35.28,43.08,"31,800","40,640","55,850","73,380","89,600",,
1089,49-9020,"heating, air conditioning, and refrigeration mechanics and installers",broad,"307,060",1.3,23.81,"49,530",0.5,14,17.38,22.64,28.98,36.22,"29,120","36,150","47,080","60,270","75,330",,
1091,49-9030,home appliance repairers,broad,"32,250",3.9,19.61,"40,790",1.1,11.14,14.28,18.35,23.95,29.64,"23,170","29,710","38,160","49,820","61,660",,
1093,49-9040,"industrial machinery installation, repair, and maintenance workers",broad,"467,450",0.7,25.12,"52,250",0.2,15.52,19.13,24.25,30.02,36.99,"32,270","39,790","50,430","62,440","76,930",,
1094,49-9041,industrial machinery mechanics,detailed,"341,260",0.9,25.54,"53,110",0.3,15.88,19.6,24.69,30.26,37.28,"33,030","40,770","51,360","62,940","77,540",,
